xmin,xmax,ymin,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,weight_below,weight_right
1240,2102,133,458,DMmZXznqN /-1 of 1 -// std-in-remote,img,,0.0,-1,,0.0,-1, , 
104,191,133,176,Page,undefined,Invoice,43.0,6,1,64.5,2,MV,MH
202,222,133,176,1,undefined,Invoice,43.0,6,of,36.5,3,MV,NH
233,264,133,176,of,undefined,for,43.0,7,"1,",42.0,4,MV,NH
275,306,133,176,"1,",undefined,for,43.0,7,1-1/1,68.0,5,MV,MH
316,401,133,176,1-1/1,undefined,TaxInvoice,90.0,12,,0.0,-1,MV, 
104,222,176,219,Invoice,undefined,Retail,47.0,10,for,91.5,7,MV,MH
233,276,176,219,for,undefined,/,47.0,11,FV2014001728,160.5,8,MV,FH
287,543,176,219,FV2014001728,undefined,TaxInvoice,47.0,12,08/02/01,211.5,9,MV,FH
554,699,176,219,08/02/01,undefined,Cash,47.0,14,,0.0,-1,MV, 
104,217,220,269,Retail,undefined,Sold,117.0,16,/,74.0,11,FV,MH
229,240,220,269,/,undefined,By,117.0,17,TaxInvoice,125.0,12,FV,MH
252,467,220,269,TaxInvoice,undefined,E,160.0,23,/,125.0,13,FV,MH
479,490,220,269,/,undefined,ON,160.0,26,Cash,68.0,14,FV,MH
502,603,220,269,Cash,undefined,ON,160.0,26,Memorandum,199.0,15,FV,FH
615,888,220,269,Memorandum,undefined,,0.0,-1,,0.0,-1, , 
104,194,337,386,Sold,undefined,Chardi,43.0,18,By,83.5,17,MV,MH
206,259,337,386,By,undefined,Chardi,43.0,18,,0.0,-1,MV, 
104,214,383,426,Chardi,SN,61,41.0,27,C,79.5,19,MV,MH
225,252,383,426,C,SN,CHEMIN,41.0,28,O,38.0,20,MV,NH
262,291,383,426,O,SN,CHEMIN,41.0,28,L,35.5,21,MV,NH
302,322,383,426,L,SN,CHEMIN,41.0,28,L,31.0,22,MV,NH
333,353,383,426,L,SN,DE,41.0,29,E,33.5,23,MV,NH
364,389,383,426,E,SN,DE,41.0,29,CT,48.0,24,MV,NH
400,449,383,426,CT,SN,LA,41.0,30,I,40.5,25,MV,NH
460,470,383,426,I,SN,TEILLE,41.0,31,ON,44.0,26,MV,NH
481,537,383,426,ON,SN,TEILLE,41.0,31,,0.0,-1,MV, 
104,145,424,467,61,SA,54690,42.0,32,CHEMIN,105.0,28,MV,MH
156,303,424,467,CHEMIN,SA,54690,42.0,32,DE,110.5,29,MV,MH
314,366,424,467,DE,SA,EULMONT,42.0,33,LA,59.5,30,MV,MH
377,422,424,467,LA,SA,EULMONT,42.0,33,TEILLE,96.0,31,MV,MH
433,558,424,467,TEILLE,SA,,0.0,-1,,0.0,-1, , 
104,208,466,509,54690,SA,N°,167.0,34,EULMONT,153.5,33,FV,FH
218,401,466,509,EULMONT,SA,intracommunautaire,167.0,35,,0.0,-1,FV, 
104,146,633,676,N°,SVAT,CST,42.0,41,intracommunautaire,196.5,35,MV,FH
156,487,633,676,intracommunautaire,SVAT,FR,42.0,43,FR,201.0,36,MV,FH
498,547,633,676,FR,SVAT,793,42.0,46,4,45.5,37,MV,NH
558,578,633,676,4,SVAT,793,42.0,46,439,53.0,38,MV,MH
590,652,633,676,439,SVAT,406,42.0,47,793,73.0,39,MV,MH
663,725,633,676,793,SVAT,,0.0,-1,406,73.0,40, ,MH
736,798,633,676,406,SVAT,,0.0,-1,,0.0,-1, , 
104,179,675,718,CST,SVAT,,0.0,-1,Number:,119.0,42, ,MH
189,332,675,718,Number:,SVAT,,0.0,-1,FR,107.0,43, ,MH
343,392,675,718,FR,SVAT,,0.0,-1,4,46.5,44, ,NH
404,424,675,718,4,SVAT,,0.0,-1,439,52.0,45, ,MH
435,497,675,718,439,SVAT,,0.0,-1,793,73.0,46, ,MH
508,570,675,718,793,SVAT,,0.0,-1,406,73.0,47, ,MH
581,643,675,718,406,SVAT,,0.0,-1,,0.0,-1, , 
104,179,675,718,CST,SVAT,,0.0,-1,Number:,119.0,42, ,MH
189,332,675,718,Number:,SVAT,,0.0,-1,FR,107.0,43, ,MH
343,392,675,718,FR,SVAT,,0.0,-1,4,46.5,44, ,NH
404,424,675,718,4,SVAT,,0.0,-1,439,52.0,45, ,MH
435,497,675,718,439,SVAT,,0.0,-1,793,73.0,46, ,MH
508,570,675,718,793,SVAT,,0.0,-1,406,73.0,47, ,MH
581,643,675,718,406,SVAT,,0.0,-1,,0.0,-1, , 
1240,1496,675,718,FV2014001728,undefined,,0.0,-1,,0.0,-1, , 
104,218,883,927,Billing,undefined,Lola,64.5,58,Address,143.0,57,MV,MH
229,379,883,927,Address,undefined,Lefevre,64.5,59,,0.0,-1,MV, 
104,174,948,991,Lola,BN,"19,",44.0,60,Lefevre,108.5,59,MV,MH
185,310,948,991,Lefevre,BN,rue,44.0,61,,0.0,-1,MV, 
104,156,992,1035,"19,",BA,59600,43.0,64,rue,63.0,61,MV,MH
166,220,992,1035,rue,BA,59600,43.0,64,de,58.5,62,MV,MH
231,272,992,1035,de,BA,of,183.5,77,maubeuge,120.0,63,FV,MH
283,460,992,1035,maubeuge,BA,Vieux-Reng,43.0,65,,0.0,-1,MV, 
104,208,1035,1078,59600,BA,Nature,140.5,76,Vieux-Reng,159.5,65,FV,FH
218,413,1035,1078,Vieux-Reng,BA,Transaction:,140.5,78,,0.0,-1,FV, 
1240,1400,883,927,Shipping,undefined,Lola,64.5,68,Address,166.0,67,MV,FH
1411,1561,883,927,Address,undefined,maubeuge,108.5,73,,0.0,-1,FV, 
1240,1310,948,991,Lola,SHN,"19,",44.0,70,Lefevre,108.5,69,MV,MH
1321,1446,948,991,Lefevre,SHN,rue,44.0,71,,0.0,-1,MV, 
1240,1292,992,1035,"19,",SHA,59600,43.0,74,rue,63.0,71,MV,MH
1302,1356,992,1035,rue,SHA,59600,43.0,74,de,58.5,72,MV,MH
1367,1408,992,1035,de,SHA,,0.0,-1,maubeuge,120.0,73, ,MH
1419,1596,992,1035,maubeuge,SHA,Vieux-Reng,43.0,75,,0.0,-1,MV, 
1240,1344,1035,1078,59600,SHSA,,0.0,-1,Vieux-Reng,159.5,75, ,FH
1354,1549,1035,1078,Vieux-Reng,SHSA,,0.0,-1,,0.0,-1, , 
104,222,1175,1219,Nature,undefined,QTY,163.5,80,of,87.5,77,FV,MH
233,268,1175,1219,of,undefined,,0.0,-1,Transaction:,141.0,78, ,MH
279,504,1175,1219,Transaction:,undefined,DESCRIPTION,163.5,81,sale,158.5,79,FV,FH
514,586,1175,1219,sale,undefined,,0.0,-1,,0.0,-1, , 
104,172,1341,1380,QTY,undefined,3.0,120.5,94,DESCRIPTION,162.5,81,FV,FH
187,414,1341,1380,DESCRIPTION,undefined,sport,121.0,96,,0.0,-1,FV, 
687,764,1341,1380,UNIT,undefined,166.66,120.5,101,PRICE,99.0,83,FV,MH
774,875,1341,1380,PRICE,undefined,166.66,120.5,101,DISCOUNT,199.5,84,FV,FH
937,1111,1341,1380,DISCOUNT,undefined,,0.0,-1,TOTAL,218.5,85, ,FH
1187,1298,1341,1380,TOTAL,undefined,WITHOUT,40.0,86,TAX,227.5,88,MV,FH
1187,1342,1381,1420,WITHOUT,undefined,499.97,80.5,103,TAX,120.5,87,MV,MH
1352,1418,1381,1420,TAX,undefined,,0.0,-1,,0.0,-1, , 
1437,1503,1341,1380,TAX,undefined,,0.0,-1,TYPE,86.5,89, ,MH
1513,1600,1341,1380,TYPE,undefined,,0.0,-1,TAX,163.5,90, ,FH
1687,1753,1341,1380,TAX,undefined,20.0%,120.5,105,RATE,88.0,91,FV,MH
1763,1853,1341,1380,RATE,undefined,20.0%,120.5,105,TAX,162.0,92,FV,FH
1937,2003,1341,1380,TAX,undefined,100.00,120.5,106,AMOUNT,116.0,93,FV,MH
2013,2159,1341,1380,AMOUNT,undefined,$,120.5,107,,0.0,-1,FV, 
104,150,1462,1500,3.0,QTY,4.0,121.0,108,,0.0,-1,FV, 
187,298,1462,1501,Montre,PD,Vivoactive,40.0,99,sport,106.0,96,MV,MH
307,390,1462,1501,sport,PD,Vivoactive,40.0,99,GPS,86.5,97,MV,MH
400,470,1462,1501,GPS,PD,HR,40.0,100,Garmin,103.0,98,MV,MH
480,596,1462,1501,Garmin,PD,Starwax,121.0,111,,0.0,-1,FV, 
187,351,1502,1541,Vivoactive,PD,Pinces,81.0,109,HR,116.0,100,MV,MH
361,409,1502,1541,HR,PD,linge,81.0,110,,0.0,-1,MV, 
687,788,1462,1500,166.66,UP,2.13,121.0,116,$,69.5,102,FV,MH
798,816,1462,1500,$,UP,,0.0,-1,,0.0,-1, , 
1187,1288,1462,1500,499.97,PTWTX,8.50,121.0,118,$,69.5,104,FV,MH
1298,1316,1462,1500,$,PTWTX,,0.0,-1,,0.0,-1, , 
1687,1781,1462,1500,20.0%,TXR,20.0%,121.0,120,100.00,253.5,106,FV,FH
1937,2038,1462,1500,100.00,undefined,1.70,121.0,121,$,69.5,107,FV,MH
2048,2066,1462,1500,$,undefined,,0.0,-1,,0.0,-1, , 
104,150,1583,1621,4.0,QTY,2.0,121.0,123,,0.0,-1,FV, 
187,294,1583,1622,Pinces,PD,linge,40.0,114,linge,102.0,110,MV,MH
304,381,1583,1622,linge,PD,x12,40.0,115,Starwax,112.0,111,MV,MH
391,518,1583,1622,Starwax,PD,pâtissier,121.0,125,Pinces,127.0,112,FV,MH
528,635,1583,1622,Pinces,PD,Bosch,121.0,126,à,72.5,113,FV,MH
645,663,1583,1622,à,PD,,0.0,-1,,0.0,-1, , 
187,264,1623,1662,linge,PD,Robot,81.0,124,x12,76.0,115,MV,MH
274,329,1623,1662,x12,PD,Robot,81.0,124,,0.0,-1,MV, 
687,751,1583,1621,2.13,UP,429.00,121.0,128,$,51.0,117,FV,MH
761,779,1583,1621,$,UP,429.00,121.0,128,,0.0,-1,FV, 
1187,1251,1583,1621,8.50,PTWTX,858.00,121.0,130,$,51.0,119,FV,MH
1261,1279,1583,1621,$,PTWTX,858.00,121.0,130,,0.0,-1,FV, 
1687,1781,1583,1621,20.0%,TXR,20.0%,121.0,132,1.70,235.0,121,FV,FH
1937,2001,1583,1621,1.70,undefined,171.60,121.0,133,$,51.0,122,FV,MH
2011,2029,1583,1621,$,undefined,171.60,121.0,133,,0.0,-1,FV, 
104,150,1704,1742,2.0,QTY,1.0,121.0,135,,0.0,-1,FV, 
187,283,1704,1743,Robot,PD,Tablette,121.0,136,pâtissier,126.5,125,FV,MH
293,430,1704,1743,pâtissier,PD,MUM9Y35S12,40.0,127,Bosch,128.0,126,MV,MH
439,540,1704,1743,Bosch,PD,Android,121.0,137,,0.0,-1,FV, 
187,403,1744,1783,MUM9Y35S12,PD,Tablette,81.0,136,,0.0,-1,MV, 
687,788,1704,1742,429.00,UP,124.17,121.0,141,$,69.5,129,FV,MH
798,816,1704,1742,$,UP,$,121.0,142,,0.0,-1,FV, 
1187,1288,1704,1742,858.00,PTWTX,124.17,121.0,143,$,69.5,131,FV,MH
1298,1316,1704,1742,$,PTWTX,$,121.0,144,,0.0,-1,FV, 
1687,1781,1704,1742,20.0%,TXR,20.0%,121.0,145,171.60,253.5,133,FV,FH
1937,2038,1704,1742,171.60,undefined,24.83,121.0,146,$,69.5,134,FV,MH
2048,2066,1704,1742,$,undefined,$,121.0,147,,0.0,-1,FV, 
104,150,1825,1863,1.0,QTY,,0.0,-1,,0.0,-1, , 
187,314,1825,1864,Tablette,PD,Smart'TAB,40.0,139,Android,137.0,137,MV,MH
